Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
DCA,LAX,"Washington, DC","Los Angeles, CA",3018,4882,31,2311,2006-12-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2599,3720,30,2311,2006-09-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3449,3844,31,2311,2006-05-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3432,3720,30,2311,2006-04-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3337,3844,31,2311,2006-03-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3015,3348,27,2311,2006-02-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3104,3596,29,2311,2006-06-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3340,3844,31,2311,2006-01-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3477,3844,31,2311,2006-07-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2477,4722,30,2311,2006-11-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3001,3844,31,2311,2006-08-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",175,471,3,2311,2006-10-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2448,3472,28,2311,2006-10-01,10530024,25427320,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3142,3720,30,2311,2007-11-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4224,4891,31,2311,2007-03-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",872,1256,8,2311,2007-09-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4122,4713,30,2311,2007-08-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2310,2728,22,2311,2007-09-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",124,124,1,2311,2007-07-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4249,4710,30,2311,2007-07-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3959,4716,30,2311,2007-04-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3151,3844,31,2311,2007-12-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3943,4873,31,2311,2007-05-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3448,3844,31,2311,2007-10-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",4120,4713,30,2311,2007-06-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2431,4885,31,2311,2007-01-01,10626066,25385206,38.8521,-77.037697,33.94250107,-118.4079971
